track_album_name,valence,energy,danceability,tempo,loudness,cluster
Purple (2019 Remaster),0.48088573219135144,0.9288433129751714,0.1696554722312792,0.634502106690684,0.8249539352461175,2
London Calling (Remastered),0.779611447670775,0.8025652486775882,0.6435170090207586,0.4427518452954026,0.8246907080810741,3
Wish You Were Here,0.3607687486943806,0.2623757514045929,0.45875448320834694,0.38629046450717935,0.6548079454107357,0
Full Moon Fever,0.5675788594109044,0.44978843413195857,0.6130855341810671,0.18712278849239622,0.7033429849960517,0
Blind Melon,0.5602673908502193,0.4768480193385835,0.35876535159221823,0.5170191620857791,0.7841537246643855,0
1984 (Remastered),0.44015040735324834,0.9799558628099074,0.5076622106292794,0.4810449599884055,0.8632433636382045,2
Dirt (2022 Remaster),0.5811573010236055,0.8436557299172779,0.2587762199760895,0.26861600256736756,0.8223216635956831,2
Born To Run,0.6020472111969918,0.94588082958675,0.22943158352353005,0.5078573868753689,0.8882904408042603,2
Unforgettable,0.15500313348652597,0.18219920264422257,0.31529181610694484,0.45478638052941606,0.6998197906331627,1
Tchaikovsky: Swan Lake,0.04324211405890954,0.16415947917313928,0.08379523964786435,0.05212894810397839,0.5935367606860106,1
"Beethoven: Piano Sonatas, Vol.3",0.12680175475245456,0.005079184363969461,0.13596348223019233,0.6334565255649762,0.21878227063802225,1
In A Time Lapse,0.006684771255483595,0.44978843413195857,0.42180197804586456,0.22897191424164315,0.7579929941077612,0
CHROMAKOPIA,0.662627950699812,0.813589524132139,0.48483860449951094,0.1649016014990114,0.8926033166622797,3
HIM ALL ALONG,0.4975976603300605,0.5079164319832271,0.8837082925768938,0.4232791908651408,0.8452831716848564,3
TAKE CARE,0.3597242531857112,0.8035674555370927,0.8434952722530159,0.4133306417383564,0.8865288436228158,2
MIXTAPE PLUTO,0.12575725924378522,0.5339738103303475,0.7989348983806107,0.37153845357516285,0.8071557292404885,0
Timeless,0.5644453728848965,0.7233909067767224,0.7717639387023149,0.3713417600960693,0.8622511997084255,3
GLORIOUS,0.679339878838521,0.6853070461155465,0.8402347570916203,0.6146360653022351,0.8783283050195396,3
Insecurities,0.1633590975558805,0.6432143580163521,0.6424301706336267,0.32959098108636914,0.865349180958552,2
SLUT SZN,0.4746187591393356,0.7003401490081158,0.9358765351592218,0.4183463254552419,0.8389657197238141,3
HARDSTONE PSYCHO,0.3043659912262377,0.6291834619832872,0.7587218780567329,0.37137799310537595,0.8373458602466237,2
Help Me,0.5581783998328805,0.7103622176031622,0.7500271709596782,0.15682681656780234,0.8440277805900339,3
No Face,0.46104031752663455,0.6913202872725742,0.8630583632213888,0.4022847500439973,0.8546986048960254,2
MIXTAPE PLUTO,0.2834760810528514,0.7554615262808705,0.8739267470927072,0.4284242781866932,0.8548403426002795,2
Mr. Skii,0.06204303321495716,0.40068029801623173,0.5967829583740897,0.3025456277110055,0.7805697855711018,0
Sorry Not Sorry,0.542510967202841,0.5099208457022364,0.6554722312792087,0.5678644264314627,0.7878591532184585,3
ALL RED,0.18738249425527467,0.6642607020659492,0.7619823932181284,0.4909572761058832,0.8768704314900684,2
PLAN A,0.2960100271568832,0.7624769742974029,0.6413433322464949,0.5123554561735872,0.888189199586936,2
Eternal Atake 2,0.3670357217463964,0.6642607020659492,0.6663406151505271,0.7030497841547874,0.8521473262194506,2
TAKE CARE,0.3074994777522456,0.6823004255370326,0.8967503532224758,0.3455542097580671,0.8550833215218581,2
100 GIGS,0.27616461249216623,0.7243931136362269,0.7869796761221606,0.4747041833597318,0.8744811387612126,2
The Viper,0.6459160225611029,0.8326314544627269,0.6446038474078905,0.47451266602482484,0.8523903051410291,3
Sugar Honey Iced Tea,0.4568623354919573,0.5259561554543104,0.7793718074122378,0.1386223174632753,0.8371838742989047,0
Last Lap,0.25005222477543343,0.5009009839666947,0.4000652103032279,0.081229230721451,0.8058800899022011,0
Or What,0.1226237727177773,0.5870907738840928,0.7304640799913052,0.40173607876020995,0.8201551015449411,0
WE DON'T TRUST YOU,0.08606642991435136,0.5530157406609355,0.6315617867623083,0.5005797281489073,0.8583230404762388,0
Not Like Us,0.19260497179862124,0.472839191900565,0.9119660906423214,0.2734505212377197,0.8315548626156681,0
CHROMAKOPIA,0.6375600584917485,0.8606932465288566,0.7728507770894467,0.42205244469289943,0.9048332557150668,3
FIELD TRIP,0.4474618759139335,0.6863092529750512,0.7304640799913052,0.38178721906477425,0.8780043331241016,2
MIXTAPE PLUTO,0.16962607060789636,0.5790731190080557,0.9315291816106944,0.3922119734567326,0.8462550873711707,0
100 GIGS,0.2678086484228117,0.5750642915700372,0.6902510596674273,0.5060974978519002,0.8489076072650699,2
The Largest,0.8036348443701692,0.8687109014048936,0.9163134441908488,0.4286313239541601,0.9103812744244438,3
Eternal Atake 2,0.4150825151451848,0.6933247009915834,0.6283012716009129,0.4760551569924532,0.8268977666187459,2
Blow for Blow (feat. J. Cole),0.37643618132442025,0.4788524330575928,0.6696011303119226,0.29157737817944657,0.766760483528054,0
